FromCRS,ToCRS,TravelTime,TSys
PNE,BET,69.21825397,PuT-Aux
PUT,BET,66.61946387,PuT-Aux
QRP,BET,45.93855422,PuT-Aux
REC,BET,12.70833333,PuT-Aux
RMD,BET,65.40833333,PuT-Aux
RIC,BET,67.3,PuT-Aux
RMF,BET,36.00588235,PuT-Aux
SVS,BET,18.675,PuT-Aux
SPB,BET,39.02152778,PuT-Aux
SLV,BET,24.69444444,PuT-Aux
SOH,BET,49.62368421,PuT-Aux
SRU,BET,62.0527027,PuT-Aux
SBU,BET,29.66666667,PuT-Aux
SMH,BET,15.95833333,PuT-Aux
SKW,BET,14.44166667,PuT-Aux
SRA,BET,24.13020833,PuT-Aux
SFA,BET,30.72333333,PuT-Aux
SYD,BET,45.90277778,PuT-Aux
TEO,BET,34.8,PuT-Aux
TOM,BET,23.71940639,PuT-Aux
TUR,BET,32.41666667,PuT-Aux
UPM,BET,58.37222222,PuT-Aux
VXH,BET,38.85647163,PuT-Aux
WWR,BET,49.44444444,PuT-Aux
WNP,BET,39.1,PuT-Aux
WFJ,BET,69.60454545,PuT-Aux
WMB,BET,54.87121212,PuT-Aux
WBP,BET,55.52630854,PuT-Aux
WCY,BET,60.05218069,PuT-Aux
WEH,BET,31.60219298,PuT-Aux
WHD,BET,40.17490842,PuT-Aux
WHL,BET,24.12777778,PuT-Aux
WIJ,BET,47.15162602,PuT-Aux
WIM,BET,60.5983871,PuT-Aux
WGR,BET,41.86046512,PuT-Aux
WWA,BET,48.09828179,PuT-Aux
AMR,BRX,76.2059322,PuT-Aux
ANY,BRX,59.64954338,PuT-Aux
BAL,BRX,15.27285974,PuT-Aux
BKG,BRX,51.50823108,PuT-Aux
BAK,BRX,26.11638418,PuT-Aux
BET,BRX,42.28111702,PuT-Aux
BCY,BRX,47.5173516,PuT-Aux
BCV,BRX,33.00495495,PuT-Aux
BSH,BRX,63.34444444,PuT-Aux
CBH,BRX,42.77268041,PuT-Aux
CPK,BRX,65.11018519,PuT-Aux
CFO,BRX,72.87719298,PuT-Aux
